,PET,VPD,air_temp,doy,precip,soil_temp,sw_in,wind_speed,year,wp_RNET,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_RNET,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_evi,wp_lswi2,wp_ndvi,mb_evi,mb_lswi2,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
441,5.31,1.16841384668,18.1166666667,270,0.0,18.9541666667,20.6532,3.72916666667,2013,11.2785831756,1650.17934925,-27.4818835179,28.3758374926,-55.8577210105,-0.560290612872,9.73337799481,8.23005633803,2184.56993627,-24.7778524224,31.7937430772,-56.5715954996,-2.37184643523,13.1473966965,0.3189,0.190456103388,0.551425,0.308375,0.653833201197,0.678475,25.4650052969,14.3420030035,24.459906324,16.370174783
442,4.18,0.9897664264,18.0791666667,271,0.0,18.6041666667,19.926,2.2125,2013,11.7207810869,1902.85339862,-21.0595214185,31.2763052322,-52.3358266507,-0.328800812014,9.22630691247,8.79971830986,1852.42112461,-11.6671552611,35.235539756,-46.9026950171,-0.0170360985745,9.20594512241,0.316675,0.18292115734,0.54661875,0.30730625,0.651815578864,0.67593125,25.1718562074,14.1688397766,24.2312078332,16.2741635562
443,4.01,0.619815026549,19.0583333333,272,0.0,19.0583333333,18.8748,3.32916666667,2013,11.4578293356,2480.79091339,-23.051183473,36.5687742436,-59.6199577167,0.743400962322,7.67159288062,9.48295774648,2234.109333,-23.8075991106,40.4322301017,-64.2398292123,1.9908400887,8.64025948832,0.31445,0.175386211291,0.5418125,0.3062375,0.649797956531,0.6733875,24.9860366568,13.9864812535,23.9922811728,16.175808104
444,3.2,0.547001636487,18.8875,273,0.0,19.3083333333,15.1452,2.70833333333,2013,9.5287113287,2265.82829057,-17.9278635749,33.522861948,-51.4507255229,0.793532630641,6.81590939228,7.34552112676,2326.72919534,-13.6529378419,38.2038844298,-51.8568222718,1.20418726532,7.19818968252,0.312225,0.167851265243,0.53700625,0.30516875,0.647780334198,0.67084375,24.9075466449,13.7949274344,23.7431263429,16.0751084262
445,4.09,0.789589456937,17.7708333333,274,0.0,19.2666666667,19.2168,3.0875,2013,10.4571595664,2413.47330962,-20.8370591411,33.2316740527,-54.0687331938,0.177031656251,8.12547802108,8.04714084507,2288.99120553,-19.5491061728,39.8987218476,-59.4478280204,1.31042822091,9.84016172817,0.31,0.160316319195,0.5322,0.3041,0.645762711864,0.6683,24.9363861718,13.5941783192,23.4837433433,15.972064523
446,4.67,0.974133212435,18.5791666667,275,0.0,19.0958333333,18.8532,3.3,2013,10.4601225244,1302.63455504,-27.9137785233,28.8227907721,-56.7365692954,-1.49471307438,9.56159642722,8.10545070423,3073.61252089,-15.8467438609,39.5439853154,-55.3907291763,0.446181253646,11.2331604132,0.3079,0.156551446324,0.531312,0.30236875,0.643623696219,0.66825625,25.0725552375,13.3842339078,23.2141321741,15.8666763943
447,7.29,1.27180396546,18.2291666667,276,0.0,18.7,19.2384,6.7875,2013,9.45638774194,1736.08170061,-17.3370997682,37.7136301571,-55.0507299254,-4.86367308986,11.4826209828,6.40369014085,2266.42995482,-18.5960206041,36.0631751997,-54.6591958037,-5.29898966417,15.2882137448,0.3058,0.152786573452,0.530424,0.3006375,0.641484680574,0.6682125,26.15,13.1650942004,23.01,15.7589440401
448,6.58,1.35670823695,18.7083333333,277,0.0,18.1791666667,19.4652,5.38333333333,2013,9.96435185354,1515.57986247,-17.5463559824,31.8180008275,-49.3643568098,-2.64085183789,10.6187985412,6.92150704225,1657.31423679,-15.3464299874,35.4762394809,-50.8226694683,-7.38300134842,18.5393615029,0.3037,0.149021700581,0.529536,0.29890625,0.639345664928,0.66816875,25.6010289926,12.9367591969,22.651487644,15.6488674604
449,3.82,1.15761689358,16.9333333333,278,0.0,17.7625,19.2384,1.59166666667,2013,10.4998563174,915.722144013,-19.3509491553,26.9554758492,-46.3064250046,0.32314372829,8.61613333868,7.59016901408,1534.72473006,-19.3281186124,30.0209323991,-49.3490510115,0.338897762781,9.07226363783,0.3016,0.14525682771,0.528648,0.297175,0.637206649283,0.668125,25.8616276972,12.6992288973,22.3729789172,15.5364466552
450,3.25,0.923854722421,16.2,279,0.0,17.475,16.38,1.2625,2013,10.5210288516,808.828721801,-16.9873301842,26.7840985167,-43.7714287009,0.205407938762,7.09421645578,6.15790140845,1744.73415502,-17.8214134965,30.1499369101,-47.9713504066,0.43544576483,7.39900250106,0.2995,0.141491954838,0.52776,0.29544375,0.635067633638,0.66808125,26.0978499555,12.4525033016,22.0987666548,15.4216816245
